F_1,F_3,F_5,F_7,F_6,F_8,Labels
0.0,-2.0,-21.0,57.0,57.0,-2.0,4.0
2.0,0.0,8.0,42.0,42.0,0.0,1.0
0.0,0.0,12.0,61.0,61.0,0.0,1.0
0.0,0.0,17.0,48.0,48.0,0.0,5.0
7.0,4.0,-14.0,126.0,126.0,4.0,4.0
2.0,0.0,11.0,30.0,30.0,0.0,1.0
0.0,2.0,0.0,49.0,49.0,2.0,1.0
0.0,0.0,-8.0,63.0,63.0,0.0,4.0
-1.0,0.0,20.0,35.0,35.0,0.0,1.0
0.0,-1.0,7.0,50.0,50.0,-1.0,1.0
0.0,0.0,4.0,39.0,39.0,0.0,1.0
2.0,4.0,0.0,30.0,30.0,4.0,4.0
-1.0,0.0,28.0,45.0,45.0,0.0,1.0
1.0,0.0,-8.0,52.0,52.0,0.0,4.0
-3.0,0.0,24.0,38.0,38.0,0.0,1.0
2.0,0.0,6.0,36.0,36.0,0.0,1.0
-1.0,0.0,8.0,67.0,67.0,0.0,1.0
0.0,0.0,0.0,26.0,26.0,0.0,1.0
-3.0,0.0,12.0,43.0,43.0,0.0,5.0
0.0,-2.0,-11.0,41.0,41.0,-2.0,1.0
-5.0,-2.0,-9.0,44.0,44.0,-2.0,1.0
2.0,-7.0,0.0,30.0,30.0,-7.0,1.0
-4.0,0.0,0.0,34.0,34.0,0.0,4.0
0.0,0.0,-8.0,40.0,40.0,0.0,1.0
0.0,0.0,3.0,37.0,37.0,0.0,4.0
-2.0,-1.0,0.0,35.0,35.0,-1.0,1.0
0.0,3.0,0.0,29.0,29.0,3.0,1.0
0.0,0.0,-25.0,62.0,62.0,0.0,1.0
1.0,-1.0,4.0,38.0,38.0,-1.0,1.0
2.0,0.0,2.0,36.0,36.0,0.0,4.0
-4.0,0.0,0.0,68.0,68.0,0.0,1.0
0.0,0.0,-27.0,49.0,49.0,0.0,1.0
3.0,0.0,7.0,49.0,49.0,0.0,1.0
-2.0,0.0,-3.0,32.0,32.0,0.0,1.0
0.0,0.0,8.0,66.0,66.0,0.0,1.0
0.0,-7.0,25.0,39.0,39.0,-7.0,1.0
0.0,-1.0,22.0,39.0,39.0,-1.0,1.0
0.0,0.0,0.0,65.0,65.0,0.0,4.0
4.0,0.0,-3.0,44.0,44.0,0.0,5.0
0.0,0.0,10.0,77.0,77.0,0.0,4.0
1.0,4.0,0.0,26.0,26.0,4.0,1.0
5.0,0.0,16.0,35.0,35.0,0.0,1.0
0.0,6.0,-20.0,43.0,43.0,6.0,1.0
0.0,0.0,-3.0,85.0,85.0,0.0,5.0
-1.0,0.0,7.0,31.0,31.0,0.0,1.0
0.0,-4.0,0.0,57.0,57.0,-4.0,1.0
0.0,5.0,5.0,32.0,32.0,5.0,5.0
2.0,2.0,0.0,88.0,88.0,2.0,1.0
0.0,-1.0,-3.0,48.0,48.0,-1.0,1.0
0.0,3.0,0.0,75.0,75.0,3.0,1.0
0.0,-3.0,-4.0,42.0,42.0,-3.0,5.0
-1.0,-2.0,-11.0,44.0,44.0,-2.0,1.0
0.0,3.0,0.0,33.0,33.0,3.0,1.0
0.0,0.0,-1.0,41.0,41.0,0.0,1.0
0.0,0.0,-5.0,24.0,24.0,0.0,1.0
0.0,0.0,-30.0,57.0,57.0,0.0,4.0
0.0,0.0,0.0,55.0,55.0,0.0,1.0
0.0,0.0,6.0,85.0,85.0,0.0,1.0
0.0,0.0,-9.0,77.0,77.0,0.0,1.0
0.0,-6.0,0.0,83.0,83.0,-6.0,5.0
0.0,-1.0,-2.0,35.0,35.0,-1.0,1.0
1.0,0.0,-7.0,43.0,43.0,0.0,1.0
0.0,0.0,-27.0,35.0,35.0,0.0,1.0
0.0,0.0,-18.0,45.0,45.0,0.0,1.0
0.0,0.0,-30.0,74.0,74.0,0.0,1.0
-1.0,-2.0,-12.0,47.0,47.0,-2.0,4.0
0.0,-1.0,-2.0,80.0,80.0,-1.0,1.0
-1.0,0.0,4.0,31.0,31.0,0.0,1.0
0.0,0.0,26.0,37.0,37.0,0.0,1.0
0.0,0.0,-10.0,87.0,87.0,0.0,1.0
0.0,0.0,10.0,72.0,72.0,0.0,1.0
0.0,0.0,6.0,75.0,75.0,0.0,4.0
4.0,0.0,1.0,31.0,31.0,0.0,1.0
0.0,0.0,-14.0,35.0,35.0,0.0,5.0
1.0,0.0,1.0,40.0,40.0,0.0,1.0
0.0,0.0,-9.0,70.0,70.0,0.0,1.0
0.0,0.0,27.0,42.0,42.0,0.0,1.0
-3.0,0.0,2.0,38.0,38.0,0.0,1.0
1.0,0.0,13.0,57.0,57.0,0.0,4.0
0.0,0.0,0.0,46.0,46.0,0.0,1.0
-2.0,0.0,-12.0,32.0,32.0,0.0,1.0
1.0,0.0,0.0,32.0,32.0,0.0,1.0
0.0,0.0,12.0,55.0,55.0,0.0,1.0
0.0,-4.0,0.0,70.0,70.0,-4.0,1.0
0.0,0.0,4.0,23.0,23.0,0.0,1.0
0.0,0.0,-5.0,45.0,45.0,0.0,1.0
0.0,-1.0,9.0,28.0,28.0,-1.0,1.0
1.0,2.0,0.0,42.0,42.0,2.0,1.0
0.0,0.0,-21.0,40.0,40.0,0.0,4.0
1.0,4.0,1.0,33.0,33.0,4.0,1.0
3.0,0.0,27.0,41.0,41.0,0.0,1.0
0.0,-1.0,-9.0,32.0,32.0,-1.0,1.0
-1.0,0.0,25.0,39.0,39.0,0.0,1.0
0.0,0.0,-3.0,84.0,84.0,0.0,1.0
0.0,0.0,0.0,58.0,58.0,0.0,4.0
1.0,0.0,24.0,31.0,31.0,0.0,4.0
4.0,0.0,20.0,35.0,35.0,0.0,1.0
-5.0,6.0,0.0,44.0,44.0,6.0,1.0
0.0,0.0,8.0,105.0,105.0,0.0,1.0
0.0,0.0,22.0,46.0,46.0,0.0,4.0
0.0,7.0,0.0,43.0,43.0,7.0,1.0
5.0,0.0,-6.0,34.0,34.0,0.0,1.0
0.0,0.0,-3.0,69.0,69.0,0.0,5.0
1.0,0.0,0.0,49.0,49.0,0.0,1.0
-2.0,1.0,0.0,28.0,28.0,1.0,4.0
-2.0,0.0,0.0,40.0,40.0,0.0,1.0
3.0,0.0,2.0,39.0,39.0,0.0,1.0
0.0,0.0,-22.0,46.0,46.0,0.0,1.0
3.0,0.0,0.0,47.0,47.0,0.0,1.0
0.0,0.0,-3.0,56.0,56.0,0.0,1.0
0.0,-2.0,-23.0,70.0,70.0,-2.0,1.0
0.0,0.0,21.0,41.0,41.0,0.0,1.0
1.0,0.0,31.0,46.0,46.0,0.0,1.0
0.0,-3.0,3.0,39.0,39.0,-3.0,1.0
0.0,2.0,0.0,67.0,67.0,2.0,1.0
0.0,0.0,0.0,62.0,62.0,0.0,4.0
3.0,-1.0,1.0,39.0,39.0,-1.0,5.0
-1.0,0.0,0.0,24.0,24.0,0.0,1.0
0.0,0.0,-6.0,39.0,39.0,0.0,1.0
0.0,-4.0,0.0,47.0,47.0,-4.0,4.0
0.0,0.0,-4.0,24.0,24.0,0.0,1.0
0.0,8.0,0.0,45.0,45.0,8.0,1.0
0.0,0.0,-8.0,73.0,73.0,0.0,5.0
1.0,8.0,0.0,35.0,35.0,8.0,1.0
0.0,0.0,20.0,86.0,86.0,0.0,4.0
1.0,0.0,19.0,27.0,27.0,0.0,1.0
0.0,1.0,-8.0,50.0,50.0,1.0,1.0
-2.0,-8.0,-12.0,32.0,32.0,-8.0,4.0
0.0,0.0,31.0,46.0,46.0,0.0,1.0
5.0,3.0,0.0,30.0,30.0,3.0,1.0
-2.0,0.0,-190.0,75.0,75.0,0.0,4.0
0.0,-4.0,0.0,43.0,43.0,-4.0,1.0
0.0,3.0,0.0,46.0,46.0,3.0,1.0
4.0,0.0,12.0,37.0,37.0,0.0,1.0
0.0,0.0,-5.0,63.0,63.0,0.0,1.0
2.0,0.0,2.0,32.0,32.0,0.0,5.0
0.0,0.0,-18.0,44.0,44.0,0.0,1.0
5.0,0.0,0.0,44.0,44.0,0.0,4.0
5.0,0.0,0.0,62.0,62.0,0.0,1.0
3.0,0.0,-28.0,61.0,61.0,0.0,1.0
0.0,-1.0,0.0,34.0,34.0,-1.0,1.0
-2.0,0.0,17.0,35.0,35.0,0.0,1.0
0.0,0.0,11.0,35.0,35.0,0.0,1.0
0.0,0.0,-29.0,41.0,41.0,0.0,1.0
1.0,0.0,8.0,39.0,39.0,0.0,1.0
0.0,0.0,14.0,61.0,61.0,0.0,1.0
0.0,0.0,24.0,44.0,44.0,0.0,1.0
0.0,0.0,14.0,28.0,28.0,0.0,1.0
0.0,-2.0,0.0,75.0,75.0,-2.0,1.0
0.0,0.0,-29.0,34.0,34.0,0.0,1.0
-4.0,0.0,1.0,35.0,35.0,0.0,1.0
0.0,-1.0,0.0,35.0,35.0,-1.0,1.0
0.0,0.0,10.0,60.0,60.0,0.0,1.0
-6.0,0.0,0.0,36.0,36.0,0.0,1.0
0.0,0.0,29.0,30.0,30.0,0.0,1.0
0.0,0.0,0.0,70.0,70.0,0.0,1.0
2.0,2.0,0.0,86.0,86.0,2.0,4.0
3.0,0.0,1.0,49.0,49.0,0.0,1.0
-1.0,0.0,-5.0,48.0,48.0,0.0,1.0
0.0,1.0,16.0,121.0,121.0,1.0,1.0
-1.0,-4.0,0.0,28.0,28.0,-4.0,1.0
0.0,-1.0,-19.0,57.0,57.0,-1.0,1.0
0.0,0.0,30.0,46.0,46.0,0.0,1.0
-1.0,-4.0,-6.0,69.0,69.0,-4.0,4.0
-3.0,0.0,-1.0,45.0,45.0,0.0,1.0
0.0,2.0,12.0,85.0,85.0,2.0,1.0
0.0,0.0,20.0,46.0,46.0,0.0,1.0
0.0,-1.0,0.0,37.0,37.0,-1.0,1.0
0.0,0.0,-6.0,68.0,68.0,0.0,1.0
0.0,0.0,12.0,73.0,73.0,0.0,1.0
4.0,0.0,0.0,31.0,31.0,0.0,1.0
0.0,0.0,720.0,44.0,44.0,0.0,1.0
0.0,0.0,-9.0,55.0,55.0,0.0,1.0
0.0,0.0,-19.0,46.0,46.0,0.0,5.0
0.0,0.0,1.0,37.0,37.0,0.0,1.0
0.0,0.0,31.0,44.0,44.0,0.0,1.0
0.0,0.0,9.0,28.0,28.0,0.0,4.0
1.0,2.0,4.0,128.0,128.0,2.0,1.0
0.0,7.0,0.0,46.0,46.0,7.0,1.0
0.0,0.0,2.0,22.0,22.0,0.0,1.0
0.0,-4.0,-6.0,79.0,79.0,-4.0,1.0
0.0,1.0,8.0,41.0,41.0,1.0,1.0
-3.0,0.0,-21.0,36.0,36.0,0.0,1.0
0.0,0.0,-13.0,91.0,91.0,0.0,1.0
0.0,0.0,8.0,43.0,43.0,0.0,1.0
0.0,0.0,1.0,30.0,30.0,0.0,5.0
0.0,2.0,-5.0,39.0,39.0,2.0,1.0
0.0,0.0,-6.0,29.0,29.0,0.0,1.0
0.0,6.0,0.0,50.0,50.0,6.0,1.0
2.0,0.0,-18.0,41.0,41.0,0.0,1.0
0.0,0.0,26.0,54.0,54.0,0.0,1.0
0.0,0.0,-27.0,61.0,61.0,0.0,1.0
0.0,-4.0,0.0,77.0,0.0,0.0,1.0
-2.0,-2.0,0.0,36.0,36.0,-2.0,1.0
0.0,0.0,-15.0,56.0,56.0,0.0,4.0
0.0,-6.0,0.0,48.0,48.0,-6.0,1.0
1.0,0.0,1.0,41.0,41.0,0.0,1.0
4.0,1.0,0.0,27.0,27.0,1.0,1.0
0.0,0.0,18.0,75.0,75.0,0.0,1.0
0.0,0.0,0.0,43.0,43.0,0.0,1.0
0.0,0.0,26.0,29.0,29.0,0.0,1.0
0.0,0.0,-7.0,114.0,114.0,0.0,1.0
-5.0,0.0,0.0,38.0,38.0,0.0,1.0
-1.0,0.0,0.0,49.0,49.0,0.0,5.0
0.0,0.0,6.0,87.0,87.0,0.0,1.0
0.0,-5.0,0.0,49.0,49.0,-5.0,1.0
0.0,0.0,-18.0,54.0,54.0,0.0,1.0
0.0,-5.0,0.0,128.0,128.0,-5.0,5.0
0.0,0.0,-1.0,71.0,71.0,0.0,1.0
3.0,0.0,0.0,36.0,36.0,0.0,1.0
-6.0,-8.0,2.0,126.0,126.0,-8.0,1.0
0.0,0.0,19.0,57.0,57.0,0.0,1.0
0.0,0.0,1.0,41.0,41.0,0.0,1.0
3.0,0.0,16.0,36.0,36.0,0.0,1.0
-4.0,0.0,-19.0,39.0,39.0,0.0,1.0
0.0,0.0,-5.0,75.0,75.0,0.0,5.0
0.0,0.0,-30.0,43.0,43.0,0.0,1.0
0.0,0.0,-22.0,55.0,55.0,0.0,5.0
3.0,0.0,0.0,49.0,49.0,0.0,4.0
0.0,0.0,-4.0,57.0,57.0,0.0,5.0
0.0,-1.0,-28.0,44.0,44.0,-1.0,4.0
1.0,2.0,0.0,37.0,37.0,2.0,1.0
0.0,5.0,0.0,30.0,30.0,5.0,1.0
0.0,-5.0,0.0,44.0,44.0,-5.0,1.0
-3.0,0.0,0.0,48.0,48.0,0.0,1.0
0.0,-2.0,-6.0,33.0,33.0,-2.0,1.0
0.0,0.0,4.0,43.0,43.0,0.0,4.0
0.0,0.0,1.0,33.0,33.0,0.0,1.0
0.0,0.0,0.0,31.0,31.0,0.0,1.0
1.0,0.0,0.0,43.0,43.0,0.0,1.0
0.0,1.0,-1.0,30.0,30.0,1.0,1.0
0.0,0.0,-28.0,42.0,42.0,0.0,1.0
0.0,0.0,26.0,84.0,84.0,0.0,1.0
2.0,0.0,0.0,48.0,48.0,0.0,4.0
0.0,0.0,0.0,124.0,124.0,0.0,5.0
0.0,0.0,27.0,66.0,66.0,0.0,4.0
-4.0,0.0,-16.0,39.0,39.0,0.0,1.0
0.0,-6.0,20.0,42.0,42.0,-6.0,1.0
0.0,8.0,0.0,42.0,42.0,8.0,1.0
4.0,0.0,15.0,35.0,35.0,0.0,1.0
0.0,0.0,10.0,32.0,32.0,0.0,1.0
0.0,-7.0,0.0,84.0,84.0,-7.0,4.0
-1.0,0.0,0.0,38.0,38.0,0.0,1.0
-2.0,0.0,0.0,32.0,32.0,0.0,1.0
0.0,3.0,-8.0,49.0,49.0,3.0,4.0
0.0,-1.0,-9.0,34.0,34.0,-1.0,4.0
3.0,0.0,0.0,26.0,26.0,0.0,1.0
3.0,4.0,0.0,36.0,36.0,4.0,5.0
0.0,0.0,0.0,46.0,46.0,0.0,1.0
-1.0,0.0,17.0,51.0,51.0,0.0,1.0
1.0,0.0,9.0,36.0,36.0,0.0,4.0
0.0,4.0,5.0,42.0,42.0,4.0,4.0
0.0,2.0,-28.0,32.0,32.0,2.0,1.0
0.0,0.0,7.0,38.0,38.0,0.0,1.0
0.0,6.0,0.0,46.0,46.0,6.0,1.0
0.0,0.0,-2.0,97.0,97.0,0.0,1.0
6.0,9.0,0.0,36.0,36.0,9.0,1.0
-5.0,0.0,0.0,39.0,39.0,0.0,1.0
-1.0,-1.0,14.0,82.0,82.0,-1.0,1.0
0.0,7.0,7.0,34.0,34.0,7.0,1.0
2.0,0.0,0.0,46.0,46.0,0.0,1.0
0.0,-4.0,0.0,77.0,77.0,-4.0,4.0
-1.0,0.0,-6.0,37.0,37.0,0.0,4.0
0.0,0.0,331.0,30.0,30.0,0.0,1.0
-11.0,0.0,0.0,81.0,81.0,0.0,1.0
1.0,4.0,0.0,43.0,43.0,4.0,1.0
0.0,-2.0,0.0,35.0,35.0,-2.0,5.0
28.0,0.0,0.0,48.0,48.0,0.0,1.0
0.0,0.0,13.0,29.0,29.0,0.0,1.0
0.0,0.0,16.0,100.0,100.0,0.0,1.0
0.0,1.0,-21.0,67.0,67.0,1.0,1.0
0.0,0.0,18.0,37.0,37.0,0.0,1.0
-3.0,-2.0,-9.0,42.0,42.0,-2.0,1.0
0.0,0.0,0.0,27.0,27.0,0.0,1.0
1.0,1.0,0.0,26.0,26.0,1.0,1.0
0.0,0.0,-16.0,32.0,32.0,0.0,4.0
0.0,0.0,0.0,60.0,60.0,0.0,4.0
0.0,0.0,2.0,39.0,39.0,0.0,4.0
0.0,0.0,-18.0,35.0,35.0,0.0,1.0
0.0,0.0,4.0,43.0,43.0,0.0,1.0
1.0,3.0,0.0,32.0,32.0,3.0,1.0
0.0,0.0,0.0,74.0,74.0,0.0,1.0
1.0,0.0,5.0,39.0,39.0,0.0,1.0
0.0,0.0,0.0,74.0,74.0,0.0,1.0
-3.0,0.0,0.0,50.0,50.0,0.0,1.0
0.0,4.0,0.0,45.0,45.0,4.0,4.0
-1.0,-1.0,0.0,54.0,54.0,-1.0,5.0
0.0,0.0,11.0,33.0,33.0,0.0,4.0
2.0,0.0,4.0,39.0,39.0,0.0,1.0
1.0,0.0,31.0,39.0,39.0,0.0,1.0
0.0,-1.0,-2.0,62.0,62.0,-1.0,1.0
-4.0,0.0,0.0,41.0,41.0,0.0,4.0
4.0,0.0,4.0,53.0,53.0,0.0,1.0
5.0,1.0,-6.0,81.0,81.0,1.0,1.0
3.0,0.0,10.0,31.0,31.0,0.0,1.0
0.0,-1.0,-32.0,46.0,46.0,-1.0,1.0
0.0,-4.0,-12.0,37.0,37.0,-4.0,1.0
0.0,7.0,-7.0,52.0,52.0,7.0,1.0
1.0,0.0,0.0,68.0,68.0,0.0,1.0
0.0,5.0,-12.0,42.0,42.0,5.0,5.0
5.0,0.0,20.0,32.0,32.0,0.0,4.0
-4.0,-3.0,0.0,30.0,30.0,-3.0,1.0
0.0,-1.0,-7.0,50.0,50.0,-1.0,1.0
-1.0,0.0,3.0,41.0,41.0,0.0,1.0
8.0,17.0,3.0,74.0,0.0,0.0,1.0
-3.0,0.0,0.0,71.0,71.0,0.0,1.0
0.0,-6.0,2.0,41.0,41.0,-6.0,5.0
-1.0,0.0,0.0,44.0,44.0,0.0,1.0
0.0,0.0,-27.0,50.0,50.0,0.0,1.0
-1.0,0.0,14.0,31.0,31.0,0.0,1.0
2.0,0.0,-19.0,39.0,39.0,0.0,1.0
-1.0,0.0,0.0,39.0,39.0,0.0,1.0
-2.0,0.0,-16.0,41.0,41.0,0.0,1.0
0.0,0.0,9.0,88.0,88.0,0.0,4.0
0.0,-2.0,0.0,45.0,45.0,-2.0,1.0
4.0,0.0,0.0,53.0,53.0,0.0,1.0
0.0,3.0,0.0,86.0,86.0,3.0,1.0
0.0,-1.0,-6.0,41.0,41.0,-1.0,1.0
0.0,0.0,5.0,24.0,24.0,0.0,4.0
2.0,0.0,0.0,50.0,50.0,0.0,1.0
0.0,0.0,6.0,76.0,76.0,0.0,5.0
0.0,0.0,-8.0,77.0,77.0,0.0,1.0
0.0,0.0,5.0,39.0,39.0,0.0,1.0
-1.0,1.0,0.0,62.0,62.0,1.0,1.0
-5.0,1.0,0.0,71.0,71.0,1.0,4.0
0.0,-1.0,-13.0,39.0,39.0,-1.0,4.0
0.0,1.0,14.0,41.0,41.0,1.0,1.0
0.0,3.0,0.0,41.0,41.0,3.0,1.0
0.0,0.0,25.0,49.0,49.0,0.0,1.0
1.0,0.0,-30.0,45.0,45.0,0.0,4.0
0.0,2.0,0.0,39.0,39.0,2.0,1.0
4.0,0.0,2.0,39.0,39.0,0.0,1.0
-1.0,0.0,-21.0,43.0,43.0,0.0,5.0
5.0,0.0,-12.0,30.0,30.0,0.0,1.0
0.0,0.0,-1.0,91.0,91.0,0.0,4.0
1.0,0.0,-26.0,41.0,41.0,0.0,4.0
-1.0,0.0,0.0,39.0,39.0,0.0,4.0
0.0,0.0,5.0,23.0,23.0,0.0,1.0
1.0,6.0,0.0,34.0,34.0,6.0,4.0
0.0,0.0,3.0,44.0,44.0,0.0,1.0
0.0,-1.0,0.0,87.0,87.0,-1.0,5.0
0.0,3.0,7.0,45.0,45.0,3.0,1.0
-1.0,-6.0,-7.0,55.0,55.0,-6.0,1.0
0.0,1.0,8.0,39.0,39.0,1.0,1.0
1.0,0.0,0.0,67.0,67.0,0.0,4.0
2.0,0.0,0.0,46.0,46.0,0.0,1.0
0.0,0.0,5.0,75.0,75.0,0.0,1.0
-1.0,0.0,0.0,38.0,38.0,0.0,1.0
0.0,8.0,0.0,38.0,38.0,8.0,1.0
0.0,-3.0,2.0,46.0,46.0,-3.0,1.0
-4.0,0.0,0.0,128.0,128.0,0.0,1.0
0.0,-1.0,9.0,35.0,35.0,-1.0,5.0
1.0,0.0,30.0,41.0,41.0,0.0,1.0
-1.0,0.0,10.0,45.0,45.0,0.0,5.0
0.0,0.0,-18.0,47.0,47.0,0.0,1.0
0.0,-2.0,-4.0,36.0,36.0,-2.0,4.0
1.0,0.0,-4.0,83.0,83.0,0.0,1.0
0.0,0.0,11.0,39.0,39.0,0.0,1.0
0.0,0.0,1.0,55.0,55.0,0.0,1.0
0.0,0.0,-12.0,78.0,78.0,0.0,1.0
0.0,0.0,-6.0,111.0,111.0,0.0,1.0
1.0,0.0,-3.0,58.0,58.0,0.0,1.0
-4.0,0.0,0.0,37.0,37.0,0.0,1.0
0.0,0.0,10.0,41.0,41.0,0.0,1.0
0.0,5.0,0.0,81.0,81.0,5.0,1.0
5.0,-1.0,-1.0,40.0,40.0,-1.0,4.0
0.0,1.0,0.0,33.0,33.0,1.0,1.0
0.0,0.0,30.0,57.0,57.0,0.0,1.0
0.0,0.0,-4.0,53.0,53.0,0.0,1.0
0.0,0.0,20.0,41.0,41.0,0.0,1.0
-4.0,1.0,0.0,72.0,0.0,0.0,1.0
-3.0,0.0,0.0,43.0,43.0,0.0,1.0
1.0,1.0,8.0,36.0,36.0,1.0,1.0
0.0,0.0,9.0,52.0,52.0,0.0,1.0
3.0,-1.0,0.0,23.0,23.0,-1.0,1.0
1.0,-1.0,0.0,40.0,40.0,-1.0,1.0
-2.0,0.0,-4.0,30.0,30.0,0.0,1.0
3.0,0.0,0.0,33.0,33.0,0.0,1.0
0.0,4.0,0.0,52.0,52.0,4.0,1.0
-1.0,0.0,-3.0,43.0,43.0,0.0,1.0
-1.0,0.0,0.0,46.0,46.0,0.0,1.0
1.0,6.0,0.0,44.0,44.0,6.0,1.0
-1.0,-4.0,-7.0,45.0,45.0,-4.0,1.0
0.0,0.0,6.0,57.0,57.0,0.0,1.0
-2.0,0.0,18.0,34.0,34.0,0.0,1.0
-3.0,0.0,0.0,37.0,37.0,0.0,4.0
5.0,0.0,-18.0,46.0,46.0,0.0,1.0
3.0,0.0,0.0,60.0,60.0,0.0,1.0
1.0,0.0,0.0,52.0,52.0,0.0,1.0
3.0,0.0,9.0,85.0,85.0,0.0,1.0
0.0,0.0,-2.0,97.0,97.0,0.0,1.0
0.0,-5.0,0.0,37.0,37.0,-5.0,1.0
0.0,0.0,-13.0,39.0,39.0,0.0,1.0
2.0,0.0,0.0,36.0,36.0,0.0,1.0
0.0,3.0,0.0,28.0,28.0,3.0,1.0
0.0,0.0,-27.0,24.0,24.0,0.0,1.0
0.0,4.0,-9.0,41.0,41.0,4.0,1.0
-4.0,0.0,0.0,40.0,40.0,0.0,1.0
0.0,0.0,2.0,28.0,28.0,0.0,1.0
0.0,0.0,-1.0,86.0,86.0,0.0,4.0
-1.0,0.0,1.0,51.0,51.0,0.0,1.0
0.0,0.0,-7.0,46.0,46.0,0.0,1.0
0.0,0.0,7.0,35.0,35.0,0.0,1.0
0.0,1.0,2.0,72.0,72.0,1.0,1.0
-2.0,0.0,0.0,28.0,28.0,0.0,1.0
-1.0,0.0,-24.0,66.0,66.0,0.0,1.0
0.0,-6.0,0.0,44.0,44.0,-6.0,1.0
0.0,0.0,15.0,40.0,40.0,0.0,4.0
0.0,-1.0,-8.0,46.0,46.0,-1.0,1.0
1.0,0.0,1.0,66.0,66.0,0.0,1.0
0.0,0.0,-21.0,35.0,35.0,0.0,3.0
1.0,0.0,28.0,27.0,27.0,0.0,4.0
0.0,0.0,-23.0,103.0,103.0,0.0,1.0
-5.0,0.0,0.0,35.0,35.0,0.0,4.0
0.0,5.0,0.0,50.0,50.0,5.0,5.0
1.0,0.0,22.0,24.0,24.0,0.0,1.0
0.0,0.0,2.0,34.0,34.0,0.0,1.0
-5.0,0.0,0.0,31.0,31.0,0.0,1.0
1.0,-2.0,0.0,23.0,23.0,-2.0,1.0
2.0,0.0,0.0,58.0,58.0,0.0,1.0
-3.0,0.0,-26.0,37.0,37.0,0.0,1.0
0.0,4.0,0.0,88.0,88.0,4.0,1.0
4.0,0.0,0.0,59.0,59.0,0.0,1.0
0.0,-6.0,0.0,38.0,38.0,-6.0,1.0
2.0,0.0,0.0,51.0,51.0,0.0,1.0
0.0,0.0,13.0,41.0,41.0,0.0,5.0
0.0,0.0,-7.0,30.0,30.0,0.0,1.0
0.0,0.0,1.0,36.0,36.0,0.0,1.0
0.0,0.0,23.0,72.0,72.0,0.0,1.0
